"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"15.05.2025 13:59:16";"15.05.2025";"*1600";"OK";"-2321,62";"RUB";"-2321,62";"RUB";"";"Супермаркеты";"5411";"Мираторг";"23,00";"0,00";"2321,62"
"15.05.2025 13:45:39";"15.05.2025";"*8082";"OK";"-1954,00";"RUB";"-1954,00";"RUB";"";"Аптеки";"5912";"Аптека Будь Здоров";"48,00";"0,00";"1954,00"
"15.05.2025 13:38:19";"15.05.2025";"";"OK";"5600,00";"RUB";"5600,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"5600,00"
"15.05.2025 13:38:18";"15.05.2025";"";"OK";"-5600,00";"RUB";"-5600,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"5600,00"
"15.05.2025 13:22:26";"15.05.2025";"*6553";"OK";"2000,00";"RUB";"2000,00";"RUB";"";"Переводы";"";"Ирина Д.";"0,00";"0,00";"2000,00"
"14.05.2025 20:35:37";"14.05.2025";"";"OK";"-100,00";"RUB";"-100,00";"RUB";"";"Мобильная связь";"";"МТС +7 981 781-82-54";"0,00";"0,00";"100,00"
"14.05.2025 19:41:18";"14.05.2025";"*6553";"OK";"-117,99";"RUB";"-117,99";"RUB";"";"Фастфуд";"5814";"Вендинговый автомат";"0,00";"0,00";"117,99"
"14.05.2025 19:33:17";"14.05.2025";"*6553";"OK";"-450,00";"RUB";"-450,00";"RUB";"";"Различные товары";"5331";"IP Shorokhov A.F.";"0,00";"0,00";"450,00"
"14.05.2025 17:23:18";"14.05.2025";"*6553";"OK";"-221,00";"RUB";"-221,00";"RUB";"";"Фастфуд";"5814";"Вкусно — и точка";"0,00";"0,00";"221,00"
"13.05.2025 19:38:27";"13.05.2025";"*6553";"OK";"5000,00";"RUB";"5000,00";"RUB";"";"Переводы";"";"Тимофей Р.";"0,00";"0,00";"5000,00"
"13.05.2025 19:36:55";"13.05.2025";"";"OK";"7400,00";"RUB";"7400,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"7400,00"
"13.05.2025 19:36:55";"13.05.2025";"";"OK";"-7400,00";"RUB";"-7400,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"7400,00"
"13.05.2025 19:35:08";"13.05.2025";"*6553";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Пополнения";"";"Внесение наличных через банкомат Т-Банк";"0,00";"0,00";"1000,00"
"13.05.2025 19:33:58";"13.05.2025";"*6553";"OK";"15000,00";"RUB";"15000,00";"RUB";"";"Пополнения";"";"Внесение наличных через банкомат Т-Банк";"0,00";"0,00";"15000,00"
"13.05.2025 19:03:18";"13.05.2025";"*6553";"OK";"-135,00";"RUB";"-135,00";"RUB";"";"Фастфуд";"5814";"Вкусно — и точка";"0,00";"0,00";"135,00"
"12.05.2025 23:25:20";"12.05.2025";"";"OK";"-1238,57";"RUB";"-1238,57";"RUB";"";"Услуги банка";"";"Плата за Программу страховой защиты";"0,00";"0,00";"1238,57"
"12.05.2025 23:18:33";"12.05.2025";"";"OK";"-390,00";"RUB";"-390,00";"RUB";"";"Услуги банка";"";"Плата за использование средств сверх лимита";"0,00";"0,00";"390,00"
"12.05.2025 22:27:36";"12.05.2025";"";"OK";"-3711,70";"RUB";"-3711,70";"RUB";"";"Услуги банка";"";"Проценты по кредиту";"0,00";"0,00";"3711,70"
"12.05.2025 18:20:24";"12.05.2025";"*6553";"OK";"-394,19";"RUB";"-394,19";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"0,00";"0,00";"394,19"
"12.05.2025 13:40:38";"12.05.2025";"";"OK";"-121,00";"RUB";"-121,00";"RUB";"";"Платные дороги";"4784";"Автодор-Платные Дороги";"0,00";"0,00";"121,00"
"12.05.2025 12:03:18";"12.05.2025";"*8082";"OK";"-6685,00";"RUB";"-6685,00";"RUB";"";"Маркетплейсы";"5300";"Aliexpress.ru";"166,00";"0,00";"6685,00"
"12.05.2025 11:56:20";"12.05.2025";"*6553";"OK";"1300,00";"RUB";"1300,00";"RUB";"";"Переводы";"";"Тимофей Р.";"0,00";"0,00";"1300,00"
"12.05.2025 10:23:55";"12.05.2025";"*6553";"OK";"-906,00";"RUB";"-906,00";"RUB";"";"Фастфуд";"5814";"Вкусно — и точка";"0,00";"0,00";"906,00"
"12.05.2025 09:59:25";"12.05.2025";"*6553";"OK";"-1708,50";"RUB";"-1708,50";"RUB";"";"Медицина";"8011";"Гемотест";"0,00";"0,00";"1708,50"
"12.05.2025 09:22:03";"12.05.2025";"*6553";"OK";"1500,00";"RUB";"1500,00";"RUB";"";"Переводы";"";"Ирина Д.";"0,00";"0,00";"1500,00"
"11.05.2025 19:52:48";"11.05.2025";"*6553";"OK";"-739,96";"RUB";"-739,96";"RUB";"";"Супермаркеты";"5411";"Лента";"0,00";"0,00";"739,96"
"10.05.2025 16:40:16";"10.05.2025";"*1600";"OK";"-199,00";"RUB";"-199,00";"RUB";"";"Маркетплейсы";"5964";"Ozon.ru";"1,00";"0,00";"199,00"
"10.05.2025 11:34:53";"10.05.2025";"*6553";"OK";"-840,40";"RUB";"-840,40";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"0,00";"0,00";"840,40"
"09.05.2025 23:20:23";"10.05.2025";"*6553";"OK";"-84,99";"RUB";"-84,99";"RUB";"";"Супермаркеты";"5411";"Дикси";"0,00";"0,00";"84,99"
"09.05.2025 22:25:14";"09.05.2025";"";"OK";"-3627,47";"RUB";"-3627,47";"RUB";"";"Услуги банка";"";"Проценты по кредиту";"0,00";"0,00";"3627,47"
"09.05.2025 18:02:49";"09.05.2025";"*6553";"OK";"-1753,92";"RUB";"-1753,92";"RUB";"";"Супермаркеты";"5411";"Перекрёсток";"0,00";"0,00";"1753,92"
"08.05.2025 18:58:47";"08.05.2025";"*6553";"OK";"-89,78";"RUB";"-89,78";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"0,00";"0,00";"89,78"
"08.05.2025 16:54:39";"08.05.2025";"";"OK";"-86,00";"RUB";"-86,00";"RUB";"";"Переводы";"";"Тимофей Р.";"0,00";"0,00";"86,00"
"08.05.2025 15:16:38";"08.05.2025";"*6553";"OK";"-110,00";"RUB";"-110,00";"RUB";"";"Фастфуд";"5814";"Казанский хлебозавод №3";"0,00";"0,00";"110,00"
"08.05.2025 15:01:26";"08.05.2025";"*6553";"OK";"-675,20";"RUB";"-675,20";"RUB";"";"Животные";"5995";"Четыре Лапы";"0,00";"0,00";"675,20"
"08.05.2025 13:47:24";"08.05.2025";"";"OK";"-1700,00";"RUB";"-1700,00";"RUB";"";"Переводы";"";"Тимофей Р.";"0,00";"0,00";"1700,00"
"08.05.2025 02:28:03";"08.05.2025";"";"OK";"-1000,00";"RUB";"-1000,00";"RUB";"";"Переводы";"";"Тимофей Р.";"0,00";"0,00";"1000,00"
"08.05.2025 02:27:51";"08.05.2025";"*6553";"FAILED";"-1000,00";"RUB";"-1000,00";"RUB";"";"";"";"Тимофей Р.";"0,00";"0,00";"1000,00"
"07.05.2025 23:23:34";"08.05.2025";"";"OK";"-10000,00";"RUB";"-10000,00";"RUB";"";"Переводы";"";"Тимофей Р.";"0,00";"0,00";"10000,00"
"07.05.2025 23:18:36";"08.05.2025";"*1600";"OK";"-1701,43";"RUB";"-1701,43";"RUB";"";"Маркетплейсы";"5399";"Aliexpress.ru";"17,00";"0,00";"1701,43"
"07.05.2025 21:49:10";"08.05.2025";"*6553";"OK";"-1590,00";"RUB";"-1590,00";"RUB";"";"Супермаркеты";"5411";"ВкусВилл";"0,00";"0,00";"1590,00"
"07.05.2025 12:57:09";"07.05.2025";"*6553";"OK";"15000,00";"RUB";"15000,00";"RUB";"";"Переводы";"";"Антон С.";"0,00";"0,00";"15000,00"
"05.05.2025 21:00:32";"05.05.2025";"*6553";"OK";"-1326,90";"RUB";"-1326,90";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"0,00";"0,00";"1326,90"
"05.05.2025 20:59:32";"05.05.2025";"*6553";"OK";"6000,00";"RUB";"6000,00";"RUB";"";"Переводы";"";"Тимофей Р.";"0,00";"0,00";"6000,00"
"05.05.2025 17:06:55";"05.05.2025";"*6553";"OK";"-325,00";"RUB";"-325,00";"RUB";"";"Фастфуд";"5814";"Вкусно — и точка";"0,00";"0,00";"325,00"
"05.05.2025 12:11:47";"05.05.2025";"*1600";"OK";"1747,01";"RUB";"1747,01";"RUB";"";"Маркетплейсы";"5399";"Aliexpress.ru";"-17,00";"0,00";"1747,01"
"04.05.2025 16:16:56";"04.05.2025";"";"OK";"-1400,00";"RUB";"-1400,00";"RUB";"";"Переводы";"";"Марианна Ч.";"0,00";"0,00";"1400,00"
"04.05.2025 12:01:19";"04.05.2025";"*6553";"OK";"-1799,55";"RUB";"-1799,55";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"0,00";"0,00";"1799,55"
"03.05.2025 17:26:38";"04.05.2025";"*6553";"OK";"-200,00";"RUB";"-200,00";"RUB";"";"Рестораны";"5812";"Фастфуд";"0,00";"0,00";"200,00"
"03.05.2025 15:33:35";"03.05.2025";"*6553";"OK";"-330,00";"RUB";"-330,00";"RUB";"";"Фастфуд";"5814";"Babl Ti Dva";"0,00";"0,00";"330,00"
"03.05.2025 13:45:51";"03.05.2025";"*6553";"OK";"-25,00";"RUB";"-25,00";"RUB";"";"Фастфуд";"5814";"Казанский хлебозавод №3";"0,00";"0,00";"25,00"
"03.05.2025 13:45:21";"03.05.2025";"*6553";"OK";"-100,00";"RUB";"-100,00";"RUB";"";"Фастфуд";"5814";"Казанский хлебозавод №3";"0,00";"0,00";"100,00"
"02.05.2025 20:32:32";"02.05.2025";"*6553";"OK";"-50,00";"RUB";"-50,00";"RUB";"";"Фастфуд";"5814";"Казанский хлебозавод №3";"0,00";"0,00";"50,00"
"02.05.2025 11:55:29";"02.05.2025";"";"OK";"-50,00";"RUB";"-50,00";"RUB";"";"Мобильная связь";"";"Т-Мобайл +7 993 688-38-68";"0,00";"0,00";"50,00"
"02.05.2025 06:08:44";"02.05.2025";"";"OK";"-5800,00";"RUB";"-5800,00";"RUB";"";"Кредиты";"";"Регулярный платеж";"0,00";"0,00";"5800,00"
"01.05.2025 19:57:52";"01.05.2025";"";"OK";"-1250,00";"RUB";"-1250,00";"RUB";"";"Переводы";"";"Марианна Ч.";"0,00";"0,00";"1250,00"
"01.05.2025 19:46:16";"01.05.2025";"*6553";"OK";"-50,00";"RUB";"-50,00";"RUB";"";"Фастфуд";"5814";"Казанский хлебозавод №3";"0,00";"0,00";"50,00"
"01.05.2025 13:15:36";"01.05.2025";"*6553";"OK";"-50,00";"RUB";"-50,00";"RUB";"";"Фастфуд";"5814";"Казанский хлебозавод №3";"0,00";"0,00";"50,00"
"30.04.2025 21:54:31";"30.04.2025";"*6553";"OK";"6700,00";"RUB";"6700,00";"RUB";"";"Переводы";"";"Роман Г.";"0,00";"0,00";"6700,00"
"30.04.2025 19:02:38";"30.04.2025";"";"OK";"-490,00";"RUB";"-490,00";"RUB";"";"Сервис";"4215";"СДЭК";"0,00";"0,00";"490,00"
"29.04.2025 18:41:01";"29.04.2025";"";"OK";"-950,81";"RUB";"-950,81";"RUB";"";"Супермаркеты";"5499";"ИП Абрамов Андрей Игоревич";"0,00";"0,00";"950,81"
"29.04.2025 18:36:47";"29.04.2025";"*6553";"OK";"-50,00";"RUB";"-50,00";"RUB";"";"Фастфуд";"5814";"Sp_Khleb.";"0,00";"0,00";"50,00"
"28.04.2025 17:34:03";"28.04.2025";"*1600";"OK";"-1450,89";"RUB";"-1450,89";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"14,00";"0,00";"1450,89"
"28.04.2025 17:22:51";"28.04.2025";"";"OK";"3000,00";"RUB";"3000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"3000,00"
"28.04.2025 17:22:50";"28.04.2025";"";"OK";"-3000,00";"RUB";"-3000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"3000,00"
"27.04.2025 22:09:10";"28.04.2025";"*1600";"OK";"-1747,01";"RUB";"-1747,01";"RUB";"";"Маркетплейсы";"5399";"Aliexpress.ru";"17,00";"0,00";"1747,01"
"27.04.2025 21:51:42";"27.04.2025";"*6553";"OK";"1702,28";"RUB";"1702,28";"RUB";"";"Переводы";"";"С";"0,00";"0,00";"1702,28"
"27.04.2025 20:27:12";"27.04.2025";"";"OK";"-1200,00";"RUB";"-1200,00";"RUB";"";"Переводы";"";"Тимофей Р.";"0,00";"0,00";"1200,00"
"27.04.2025 15:25:01";"27.04.2025";"*6553";"OK";"2000,00";"RUB";"2000,00";"RUB";"";"Переводы";"";"Владимир Р.";"0,00";"0,00";"2000,00"
"27.04.2025 15:09:39";"27.04.2025";"";"OK";"3506,00";"RUB";"3506,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"3506,00"
"27.04.2025 15:09:39";"27.04.2025";"";"OK";"-3506,00";"RUB";"-3506,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"3506,00"
"27.04.2025 15:08:35";"27.04.2025";"";"OK";"-5000,00";"RUB";"-5000,00";"RUB";"";"Переводы";"";"Роман О.";"0,00";"0,00";"5000,00"
"27.04.2025 15:05:20";"27.04.2025";"*6553";"OK";"-1240,00";"RUB";"-1240,00";"RUB";"";"Фастфуд";"5814";"bo.cafe";"0,00";"0,00";"1240,00"
"27.04.2025 14:56:26";"27.04.2025";"*6553";"OK";"-2904,00";"RUB";"-2904,00";"RUB";"";"Аптеки";"5912";"Аптека Здоров.ру";"0,00";"0,00";"2904,00"
"27.04.2025 14:53:23";"27.04.2025";"*6553";"OK";"-57,00";"RUB";"-57,00";"RUB";"";"Фастфуд";"5814";"Sp_Khleb.";"0,00";"0,00";"57,00"
"27.04.2025 14:48:21";"27.04.2025";"*6553";"OK";"8000,00";"RUB";"8000,00";"RUB";"";"Переводы";"";"Елена Р.";"0,00";"0,00";"8000,00"
"25.04.2025 20:24:55";"25.04.2025";"*6553";"OK";"-1460,00";"RUB";"-1460,00";"RUB";"";"Супермаркеты";"5499";"Магазин";"0,00";"0,00";"1460,00"
"25.04.2025 20:14:15";"25.04.2025";"*6553";"OK";"-50,00";"RUB";"-50,00";"RUB";"";"Фастфуд";"5814";"Sp_Khleb.";"0,00";"0,00";"50,00"
"25.04.2025 18:42:49";"25.04.2025";"*6553";"OK";"-975,00";"RUB";"-975,00";"RUB";"";"Дом и ремонт";"5719";"Домаркет";"0,00";"0,00";"975,00"
"25.04.2025 17:46:46";"26.04.2025";"*6553";"OK";"-80,00";"RUB";"-80,00";"RUB";"";"Фастфуд";"5814";"OOO Vkus Latte";"0,00";"0,00";"80,00"
"24.04.2025 20:56:29";"24.04.2025";"*6553";"OK";"-1744,37";"RUB";"-1744,37";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"0,00";"0,00";"1744,37"
"24.04.2025 17:16:10";"24.04.2025";"";"OK";"-2635,93";"RUB";"-2635,93";"RUB";"25";"Топливо";"5541";"Топливо в Городе";"25,67";"0,00";"2635,93"
"24.04.2025 17:14:53";"24.04.2025";"";"OK";"-3375,00";"RUB";"-3375,00";"RUB";"";"Переводы";"";"Штрафы ГИБДД";"0,00";"0,00";"3375,00"
"24.04.2025 15:49:36";"24.04.2025";"*6553";"OK";"-280,00";"RUB";"-280,00";"RUB";"";"Платные дороги";"4784";"Автодор-Платные Дороги";"0,00";"0,00";"280,00"
"24.04.2025 12:07:18";"24.04.2025";"*6553";"OK";"-270,94";"RUB";"-270,94";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"0,00";"0,00";"270,94"
"24.04.2025 11:37:00";"24.04.2025";"*6553";"OK";"-280,00";"RUB";"-280,00";"RUB";"";"Платные дороги";"4784";"Автодор-Платные Дороги";"0,00";"0,00";"280,00"
"23.04.2025 20:02:29";"23.04.2025";"*6553";"OK";"-200,00";"RUB";"-200,00";"RUB";"";"Супермаркеты";"5411";"ВкусВилл";"0,00";"0,00";"200,00"
"23.04.2025 19:11:59";"23.04.2025";"*6553";"OK";"-139,00";"RUB";"-139,00";"RUB";"";"Фастфуд";"5814";"FitVend";"0,00";"0,00";"139,00"
"23.04.2025 15:07:02";"24.04.2025";"*6553";"OK";"-2464,50";"RUB";"-2464,50";"RUB";"";"Топливо";"5541";"Газпромнефть";"0,00";"0,00";"2464,50"
"22.04.2025 22:38:39";"22.04.2025";"";"OK";"9,00";"RUB";"9,00";"RUB";"";"Бонусы";"";"Кэшбэк за обычные покупки";"0,00";"0,00";"9,00"
"22.04.2025 22:35:27";"22.04.2025";"";"OK";"10,01";"RUB";"10,01";"RUB";"";"Бонусы";"";"Кэшбэк за покупки в Городе";"0,00";"0,00";"10,01"
"22.04.2025 18:41:06";"22.04.2025";"*6553";"OK";"-279,00";"RUB";"-279,00";"RUB";"";"Фастфуд";"5814";"Вкусно — и точка";"0,00";"0,00";"279,00"
"22.04.2025 02:25:01";"22.04.2025";"";"OK";"-13300,00";"RUB";"-13300,00";"RUB";"";"Переводы";"";"Тимофей Р.";"0,00";"0,00";"13300,00"
"22.04.2025 02:23:09";"22.04.2025";"";"OK";"5800,00";"RUB";"5800,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"5800,00"
"22.04.2025 02:23:08";"22.04.2025";"";"OK";"-5800,00";"RUB";"-5800,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"5800,00"
"22.04.2025 02:21:58";"22.04.2025";"";"OK";"-245,80";"RUB";"-245,80";"RUB";"";"Мобильная связь";"";"Т-Мобайл +7 993 688-38-68";"0,00";"0,00";"245,80"
"22.04.2025 02:21:40";"22.04.2025";"";"OK";"5800,00";"RUB";"5800,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"5800,00"
"22.04.2025 02:21:40";"22.04.2025";"";"OK";"-5800,00";"RUB";"-5800,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"5800,00"
"22.04.2025 02:10:22";"22.04.2025";"";"OK";"-1900,00";"RUB";"-1900,00";"RUB";"";"Переводы";"";"Тимофей Р.";"0,00";"0,00";"1900,00"
"21.04.2025 21:45:04";"21.04.2025";"*6553";"OK";"-2469,00";"RUB";"-2469,00";"RUB";"";"Цифровые товары";"5818";"Smart Glocal";"0,00";"0,00";"2469,00"
"21.04.2025 21:40:17";"21.04.2025";"*6553";"OK";"-1990,00";"RUB";"-1990,00";"RUB";"";"Цифровые товары";"5818";"Smart Glocal";"0,00";"0,00";"1990,00"
"21.04.2025 21:10:49";"21.04.2025";"";"OK";"-3600,00";"RUB";"-3600,00";"RUB";"";"Переводы";"";"Тимофей Р.";"0,00";"0,00";"3600,00"
"21.04.2025 20:50:59";"21.04.2025";"*6553";"OK";"-465,00";"RUB";"-465,00";"RUB";"";"Супермаркеты";"5499";"Магазин";"0,00";"0,00";"465,00"
"21.04.2025 20:48:46";"21.04.2025";"*6553";"OK";"-98,00";"RUB";"-98,00";"RUB";"";"Супермаркеты";"5411";"ВкусВилл";"0,00";"0,00";"98,00"
"21.04.2025 20:41:19";"21.04.2025";"*6553";"OK";"-1121,93";"RUB";"-1121,93";"RUB";"";"Супермаркеты";"5411";"Лента";"0,00";"0,00";"1121,93"
"21.04.2025 20:32:10";"21.04.2025";"";"OK";"-25000,00";"RUB";"-25000,00";"RUB";"";"Переводы";"";"Георгий Л.";"0,00";"0,00";"25000,00"
